query,answer,gt_sources,start_candidates
"Among the mid-2010s years marked by a swift escalation in preference for a visual-first ephemeral communication service among the youth cohort in a dominant North American economic power, did the principal monetary unit of a significant West African state undergo a pronounced downward value trajectory, while simultaneously a maritime Southeast nation with extensive island chains reported a substantial majority of wildfire alerts originating beyond formally allocated land parcels?",Yes,"[""test_001207"", ""test_001945"", ""test_001356""]",2015
"Among members of the demographic cohort between childhood and adulthood in the nation sharing borders with both Canada and Mexico, following a period of significant growth in adoption of a social platform known for ephemeral messaging and disappearing content during the mid-2010s, does the proportion using this platform in the most recent year for which comprehensive survey data was available exceed twice the active user fraction for the same platform observed globally in the late 2010s?","Yes, the 60% usage rate among U.S. teens in 2023 exceeded twice the 24% active user rate observed globally in 2018.","[""test_000602"", ""test_001004"", ""test_001476""]",Snapchat
"Among nations classified as having minimal political liberties during a global health emergency, which also implemented both restrictions on legislative gatherings and prohibitions on public demonstrations, and which were among the major historical contributors to atmospheric carbon accumulation, what was the documented count of decommissioned strategic armaments for that nation in the year the health crisis was declared?",2060,"[""test_000552"", ""test_001072"", ""test_000596"", ""test_000808""]",Russia
"Among nations that were primary contributors to industrial output driving atmospheric changes during the early post-World War II reconstruction phase, maintained the second-largest inventory of deployed strategic deterrence systems in the opening years of the current decade, and were categorized as having constrained civic liberties during the global health crisis, did governing authorities implement limitations on collective citizen gatherings and employ disproportionate enforcement actions?",Yes,"[""test_000596"", ""test_000808"", ""test_000552"", ""test_001071""]",Russia
"Among continental landmasses that established family connections with a Central American territory known for its pre-Columbian civilizations, did regions exhibiting reductions in international child placement also demonstrate modifications in revenue streams from recreational mobility sectors, and what is the relationship with resource conservation metrics?","Yes, the northern continental landmass of the Western Hemisphere experienced a 2 percentage point decline in tourism contribution while maintaining resource conservation metrics of approximately 44.58%.","[""test_001394"", ""test_001039"", ""test_001728""]",North America
"Following a period of heightened social safety net utilization coinciding with a severe global economic contraction (as indicated by a declining trend in welfare program participation concluding at the final recorded data point), did the household debt trajectory relative to disposable income in a continent-sized Southern Hemisphere nation continue its upward shift while residential property transaction volumes in a northeastern state of a transcontinental North American nation remained below the pre-downturn peak level?",Yes,"[""test_000769"", ""test_001301"", ""test_001612""]",Year
"Among nations contributing to international aid at a second-tier level during the four decades prior to the mid-2010s, does the leading donor in that category exhibit a greater share of positive perception toward the legal recognition of same-gender unions than the European country ranking second in contribution volume within the same aid tier?","Yes. The leading second-tier donor (Germany) shows 80% positive perception, while the second-ranked European contributor (United Kingdom) shows 74% positive perception.","[""test_001171"", ""test_001170"", ""test_001914""]",United Kingdom
"Among the primary administrative divisions of a large democracy in South Asia that are not classified as union territories, does the jurisdiction with the highest average daily availability of a dairy product per resident in the most recent biennium also exhibit the highest count of agricultural residue burning incidents during the final year of the preceding decade?","Yes, the northern agricultural jurisdiction shows peak values in both metrics: 1,219 gm/day dairy availability and 102,379 burning incidents.","[""test_001632"", ""test_000489"", ""test_000092""]",Indian States
"Among a major conservative-aligned political faction in a nation with a presidential system that demonstrated the strongest positive perception for a nominee to the nation's highest judicial body during a period of heightened political division, does the faction's attribution of executive accountability for energy cost escalation also represent the dominant response pattern among political groupings in a parallel survey, and does this dominance in response align with the pattern observed among supporters of a regional political coalition in a nation in the southern part of Asia regarding a significant political incident in recent history?","Yes, the major conservative-aligned political faction (Republicans) showed the highest level of blame assignment to the executive branch for fuel price increases (33%) among political factions in the related survey, and the supporters of the regional political coalition (UF Supporters) showed the highest level of denial (63%) for the historical event, confirming both exhibited the dominant response pattern.","[""test_001152"", ""test_001659"", ""test_000040""]",Positive Favorability
"Among the years when a South Pacific island nation exported products derived from marine and bovine sources, did the phase of expansion in the customer base of a company specializing in wearable action cameras overlap with the year when the highest cinematic honor was bestowed upon a film that generated a substantially lower box office revenue than the top-grossing film of that year?","Yes, because 2021 falls within the subscriber growth period (2018-2022) for the wearable camera company and corresponds to the year when CODA won the Best Picture award with $2 million in revenue compared to Spider-Man: No Way Home's $1,912 million.","[""test_000512"", ""test_001530"", ""test_001769""]",Seafood and dairy produce
"During the year of the US presidential election, when the republic composed of over 17,000 islands experienced a downward shift in fire coverage compared to the prior year, and the neighboring nation with a federal constitutional monarchy had a minority of adults rating the political system as high quality or better, which social platform with ephemeral content achieved the highest preference level among the younger demographic in North America?",Snapchat,"[""test_001356"", ""test_001619"", ""test_000602""]",2016
"Among North American nations with a parliamentary system and a constitutional monarchy that experienced a positive economic rebound after a recession, does the national assessment of diminishing global influence correspond to the presence of a territory exhibiting the most substantial growth in long-term health condition prevalence?","Yes. The nation in question is Canada. The data shows that 30% of the population assessed the nation's global influence as weakening, and Yukon Territory exhibited the largest increase in disability prevalence (6.3 percentage points) from 2017 to 2022.","[""test_000759"", ""test_000852"", ""test_000559""]",Canada
"During the late summer and early autumn period of a mid-2010s year, did a Southeast Asian nation hosting a leading venture-backed technology company experience widespread fire incidents, while a neighboring country reported below-average performance in tertiary technical and scientific education?","Yes. In 2015, Indonesia (the Southeast Asian nation with Gojek) experienced significant fire coverage as shown in the land use alert data, while Malaysia (the neighboring country) had 12% of adults rating university STEM education as below average in the international science survey.","[""test_000168"", ""test_001357"", ""test_001619""]",2015
"Among a Central European nation with an early-established social insurance system, does the pattern where the retired demographic provides more monetary transfers to the currently employed demographic than they receive coincide with a positive trajectory in the broad measure of national economic activity and a relatively low level of accumulated household financial obligations?","Yes. The nation described is Germany, which showed 2.6% real GDP growth (positive trajectory), a 48% to 18% ratio of financial support from parents to adult children versus reverse flow, and the lowest household debt-to-disposable-income ratio among comparator nations in the late 2010s.","[""test_000759"", ""test_000232"", ""test_001301"", ""test_001609""]",Germany
"Among a Western European nation that is a founding member of the European Union and shares a maritime border with the British Isles, does the public sentiment regarding international standing show a pattern where decline perception outweighs societal resistance to gender-equal union recognition, while commercial operations maintain fiscal health?","Yes. The nation in question has 39% of its population perceiving declining global influence, which exceeds the 14% total opposition to same-sex marriage. Additionally, the commercial sector reports a profit of $332,749.74.","[""test_001036"", ""test_001867"", ""test_001914""]",France
"Among Central European nations with historical ties to the Austro-Hungarian Empire, does a significant proportion assessing a large Eurasian nation as non-threatening correlate with both a perception of declining international standing and a high visitor-to-resident ratio?","Yes, the nation shows 27% assessing the Eurasian power as non-threatening, 37% perceiving its global influence as weakening, and maintains a visitor-to-resident ratio of 5.39 with 84% tourist proportion.","[""test_001481"", ""test_001867"", ""test_001045""]",Hungary
"Among Western European nations with export-driven economies, did the demographic cohort's collective assessment of international standing strength correlate with financial outcomes from commercial operations when examined alongside shifts in perspectives regarding long-standing transcontinental partnerships during the period of global health emergency?","Germany showed 25% of residents perceiving its global influence as 'getting stronger' (chart 0), had a profit of $371,574.33 from commercial operations (chart 1), and 79% of residents viewed the transatlantic alliance negatively in 2020 (chart 5), indicating no direct correlation between self-perceived influence strength and partnership sentiment during the pandemic period.","[""test_000852"", ""test_001036"", ""test_000976""]",Germany
"Among periods in the early 2010s when the primary progressive political force in the dominant North American economy demonstrated significant legislative turnover, did consumer transaction patterns within the European economic integration bloc predominantly feature domestic vendor relationships?","Yes, in 2012, 60% of online purchases in the EU 28 were from national sellers while the U.S. Democratic Party had 40% of representatives not seeking re-election.","[""test_000856"", ""test_000039"", ""test_001153""]",Democrats
"Considering the Commonwealth nation in the Southern Hemisphere that had a positive perception of a major global diplomatic organization exceeding the median of all surveyed nations, did its adoption rate for zero-emission vehicles in the mid-2010s remain below 0.2%, and was this period followed by a year in which a northern Indian agricultural state documented over 9,000 instances of crop residue burning?","Yes. The nation (Australia) had a 64% favorable UN view (exceeding the 63% median), its EV adoption rate was 0.1% in 2017, and Haryana recorded 9,225 stubble burning episodes in 2018.","[""test_001228"", ""test_000990"", ""test_000092""]",Australia
"Among nations that experienced parliamentary session disruptions during the global health emergency beginning in early 2020, maintained minimal adoption of battery-powered personal transportation, and for which the dominant northern Asian economy achieved equivalent productivity per resident approximately thirteen years prior, what was the documented level of negative perception toward the principal global diplomatic body?",28,"[""test_000465"", ""test_000990"", ""test_001071"", ""test_001229""]",India
"Among urban centers exhibiting rapid technology sector expansion while maintaining competitive compensation structures, does the period encompassing the global health crisis show a correlation between housing market vulnerability exceeding the critical threshold and the magnitude of price fluctuations from pre-crisis levels through the post-crisis recovery phase?","Yes. The Canadian city in the Great Lakes region showed significant housing market vulnerability (2.02 on the UBS index, exceeding the 1.5 threshold) with substantial price fluctuations (49% increase from Dec 2019 to peak, followed by a 15% decrease to Dec 2023), while simultaneously being categorized as a high-growth, low-cost technology market with reduced personnel expenditure for technology sector employers.","[""test_001572"", ""test_000592"", ""test_001925""]",Toronto
"Among major North American cities categorized as having an upward trajectory in technology employment with competitive wage structures while simultaneously ranking highest in financial institution assessments of housing market overvaluation risk, did the residential property market exhibit an upward shift from the starting point to the conclusion of a four-year period beginning just before a global health crisis, despite experiencing a notable downward shift from its peak?",Yes,"[""test_000592"", ""test_001572"", ""test_001925""]",Toronto
"Among the demographic segment with right-of-center political alignment, was the magnitude of the skeptical stance toward the national monetary authority greater than both the oppositional sentiment toward the proposed digital platform restriction and the insufficient assistance perception regarding the European conflict?","Yes. The evidence shows the conservative-aligned demographic had a 48% unfavorable view of the Federal Reserve (2014), compared to 19% opposition to the TikTok ban (March 2023) and 13% who felt U.S. support for Ukraine was insufficient (November-December 2023).","[""test_001828"", ""test_001788"", ""test_001754""]",Rep/Lean Rep
"Within a maritime region where daily time allocation disparities between demographic cohorts exceed the global norm, do communities hosting foreign strategic infrastructure exhibit higher incidence of lethal interpersonal conflict compared to those maintaining indigenous governance models, and how does this pattern align with resource flows from nations renowned for hydraulic engineering systems toward health infrastructure development?","Yes. In the Pacific island region, the US territory with strategic military installations (Guam) shows a homicide rate of 4.2 per 100,000 people, significantly higher than other Pacific island nations like Fiji (2.2) and Tonga (1.0). This pattern exists alongside documented gender disparities in unpaid care work exceeding the global average of 2.5x. The Netherlands, known for its water management systems, was a consistent contributor to international health development assistance throughout the 1990-2014 period shown in the data.","[""test_001535"", ""test_001242"", ""test_000147""]",Oceania
"Among the top three contributors to global carbon compound output, does the nation with the second-largest population exhibit a time gap exceeding ten years in urban concentration metrics relative to the most populous nation in East Asia, and did this nation experience a growth trajectory in atmospheric carbon output during the period when the global aggregate reached an all-time high?",Yes,"[""test_000596"", ""test_001936"", ""test_000219""]",India
"Among nations that experienced electoral disruption and media restrictions while maintaining full political freedom during a major global assessment conducted in the early phase of a worldwide health emergency, does the proportion of residents expressing a negative perception of an international diplomatic body align with the global median, and does this nation's adult literacy rate correspond to a level achieved by a neighboring economic power more than six decades ago?","Yes, the nation has a negative perception proportion of 28% which matches the 24-country median of 28%, and its adult literacy rate of 63% was achieved by the neighboring economic power 63 years ago.","[""test_001071"", ""test_001229"", ""test_000465""]",India
"Among nations within the continental landmass south of the Isthmus of Panama that experienced parliamentary session disruption during the global health crisis, what was the long-term trajectory of carbon output from the mid-20th century to the early 2020s for the entire region?","The region exhibited a consistent upward trajectory in carbon output, with emissions showing steady growth from the mid-20th century through the early 2020s, contributing to the global six-fold increase in CO2 emissions over this period.","[""test_000552"", ""test_001535"", ""test_000596""]",South America
"Among Western European constitutional monarchies, does a pronounced endorsement of relationship equality correspond with both the assessment of stable geopolitical standing and a demographic composition where temporary visitors substantially outnumber permanent residents?","Yes, the Western European constitutional monarchy with a pronounced endorsement of relationship equality (58% strongly in favor) also has an assessment of stable geopolitical standing (44% viewing influence as unchanged) and a demographic composition where temporary visitors substantially outnumber permanent residents (2.49 tourist to local ratio).","[""test_000852"", ""test_001914"", ""test_001376""]",Spain
"Among nations in the isthmus connecting two major landmasses that served as primary sources for intercountry adoption placements to the dominant economy of the northern continent during the early 2000s, did the downward shift in placement frequency coincide with a high reliance on a non-renewable liquid fuel in the receiving nation and a downward shift in the regional tourism contribution to the global economy?","Yes, the decline in intercountry adoptions from Guatemala to the United States occurred during a period when the U.S. derived 35% of its energy from oil and North America's tourism contribution to global GDP decreased from 27% in 2000 to 25% in 2016.","[""test_001394"", ""test_000674"", ""test_001039""]",North America
"Among the nation with a very low tourist-to-resident ratio and minimal tourist presence, does its historical development trajectory, marked by having advanced beyond the current level of a major South Asian democracy by over a decade across several socioeconomic indicators, correlate with a relatively modest difference in poverty levels during the recent global health crisis?","Yes, the nation in question (China) demonstrates this correlation: it has a tourist-to-resident ratio of 0.10 with tourists comprising only 9% of local presence, had surpassed the South Asian democracy's (India) current development level by 14+ years across multiple indicators including agricultural investment, and showed only a +1 million change in poverty during the pandemic period compared to more substantial shifts in less developed nations.","[""test_001376"", ""test_000465"", ""test_001549""]",China
"In the year following the peak of the global health crisis, for a Eurasian nation experiencing severe restrictions on political rights and electoral process interference, what was the prevalence of regulatory conditions where full acquisition was not required?",57%,"[""test_001072"", ""test_000177"", ""test_000016""]",Russia
"During a North American electoral cycle marked by significant environmental incidents in a major Southeast Asian nation, did the housing markets of both a Pacific coastal innovation center and the regional financial hub exhibit parallel characteristics indicating potential for substantial valuation readjustment in subsequent periods?","Yes, the 2016 period (a North American electoral cycle) saw significant fire incidents in Indonesia (a major Southeast Asian nation), while the real estate bubble index indicated both the Pacific coastal innovation center (San Francisco, score 0.74) and the regional financial hub (Singapore, score 0.52) were in the overvalued range (0.5 to 1.5), suggesting potential for valuation readjustment.","[""test_001357"", ""test_000017"", ""test_001436""]",San Francisco County
"Among Western European nations that were significant recipients of intercountry adoptions and experienced a downward movement in adoption inflows during the late 2000s, did the concurrent rising trend in internet-based consumer transactions align with the national economic trajectory of the Mediterranean nation that exhibited the most pronounced output contraction among developed economies?","No, the Western European nation that was a significant recipient of intercountry adoptions and experienced a downward movement in adoption inflows during the late 2000s saw a rising trend in internet-based consumer transactions, while the Mediterranean nation with the most pronounced output contraction among developed economies experienced a severe economic downturn, indicating no alignment between the two trends.","[""test_000603"", ""test_001394"", ""test_001119"", ""test_000759""]",Ireland
"Among an East Asian island nation with a major economy that experienced a decline in national economic output during the global health emergency, does the relatively low adoption rate of zero-emission transportation in the year immediately preceding the crisis correlate with the minimal scale of government economic stimulus implemented during the emergency?","Yes. Japan experienced negative GDP growth (-0.5%) during the pandemic period. In 2017 (the year before the pandemic), its electric vehicle market share was 1.0%, the lowest among major economies shown. During the pandemic, its cumulative fiscal support was approximately 5% of GDP, the smallest among the US, Euro area, and Japan as depicted in the fiscal support chart.","[""test_000759"", ""test_001665"", ""test_001782""]",Japan
"Among city-states in Southeast Asia that exhibit a housing market valuation indicating moderate excess above fundamental values but not yet at bubble risk levels and maintain a visitor-to-resident ratio exceeding 2.5, what share of residents reports that their country's international standing is on an upward trajectory?",42%,"[""test_000017"", ""test_000852"", ""test_001376""]",Singapore
"Among nations exhibiting both high social trust metrics and a substantial presence in emerging technology sectors, does the level of public acceptance toward legal recognition of same-gender unions correlate with the demographic development timeline when compared to a rapidly developing East Asian economy?","Yes, the Scandinavian nation with high social trust demonstrates 92% total favor for same-gender union recognition while maintaining a modest AI startup ecosystem (appearing in the top 10 countries), and India's current crude birth rate corresponds to the East Asian nation's development stage approximately 23 years prior.","[""test_000465"", ""test_001914"", ""test_001134""]",Sweden
"Among nations with historical Ottoman influences in Central Europe, does a population's assessment of declining international standing correlate with both their diplomatic posture toward a major global diplomatic organization and the demographic transformation in domestic destinations caused by international visitors?","Yes, the Central European nation with Ottoman historical influences shows 37% of citizens perceiving declining global influence (versus 30% seeing strengthening), maintains a 50% favorable assessment of the United Nations, and experiences 84% tourist composition in domestic visitor destinations.","[""test_001867"", ""test_001228"", ""test_001045""]",Hungary
"Among regions where more than half of young children experience preventable oral health conditions relative to the country-wide benchmark, is there also a long-term downward shift in the proportion of working-age individuals participating in economic activity that is primarily attributable to the population's shift toward older age groups, and did this region experience a significant wildfire event during the autumn months of a mid-2010s year?","Yes, California matches all conditions: over half of young children have dental issues exceeding the national average, the labor force participation trend shows a long-term decline primarily due to aging, and the region experienced major wildfires in autumn 2017.","[""test_000497"", ""test_000044"", ""test_001107"", ""test_001102"", ""test_001667""]",California
