query,answer,gt_sources,start_candidates
"In the surveys conducted between June 2022 and September 2023, among the countries or territories in East Asia that have had a first woman head of government since 2008, which one has the highest level of support for legal same-sex marriage?","Hong Kong, with 58% of adults favoring legal same-sex marriage.","[""paragraph_00095_01"", ""chart_00194_01""]",Buddhists
"Does the low level of opposition to religious diversity in Indonesia, combined with the notable presence of Buddhist beliefs among Chinese Communist Party members, indicate that religious diversity and personal religious beliefs can coexist even in countries with state restrictions on religion?",Yes,"[""chart_00204_04"", ""paragraph_00029_01""]",Buddhism
"Among Hispanic and Black voters in the 2024 presidential election, which group has a higher level of support for the Democratic candidate and also a higher level of belief that legal immigrants fill jobs Americans would like to have?",Black voters,"[""chart_00224_02"", ""chart_00237_02""]",American Trends Panel
"Among Jewish Americans, does the level of importance placed on foreign policy as a voting issue exceed the level of support for the U.S. taking a major diplomatic role in resolving the Israel-Hamas conflict?","Yes, 72% of Jewish Americans consider foreign policy a very important voting issue, which is higher than the 54% who support the U.S. playing a major diplomatic role in resolving the Israel-Hamas conflict in September 2024.","[""chart_00253_04"", ""chart_00247_02""]",Protestant
"In Singapore, which exhibits high religious diversity, does the religiously unaffiliated demographic show greater support for same-sex marriage compared to the country's general population?","Yes, the religiously unaffiliated demographic in Singapore shows 62% support for same-sex marriage compared to 45% support among the general population.","[""chart_00013_02"", ""chart_00095_02"", ""paragraph_00091_03""]",Buddhism
"Among countries where religion plays a highly significant role in daily life, how does the level of social media usage relate to the level of support for progressive social policies?","Countries with extremely high religious importance, such as Nigeria and Indonesia, demonstrate very low support for progressive social policies like same-sex marriage, while their social media usage levels differ significantly, indicating that religious importance strongly correlates with social policy views but has a more complex relationship with digital engagement patterns.","[""paragraph_00094_05"", ""paragraph_00094_02"", ""chart_00187_01""]",Nigeria
"Among U.S. Protestant subgroups, is there a pattern between the level of concern about societal changes related to marriage and fertility and the perception of migrant influx at the southern border as a crisis?","Yes, there is a positive correlation where Protestant subgroups expressing higher levels of concern about societal changes related to marriage and fertility also tend to perceive the migrant influx at the southern border as a crisis more frequently.","[""chart_00042_01"", ""chart_00184_01""]",Protestant
"In countries where religion plays a significant role in daily life, how has the perception of international organizations like the United Nations changed between 2023 and 2024, with Nigeria serving as a specific example?","Nigeria's favorable view of the United Nations decreased from 78% in 2023 to 69% in 2024, showing a decline of 9 percentage points.","[""paragraph_00094_05"", ""chart_00252_02""]",Nigeria
"Among Black Protestant voters, does prioritizing immigration policy as a key issue in the 2024 presidential election correspond with their stance on the U.S. taking a major role in diplomatically resolving the Israel-Hamas war?","No, Black Protestant voters who prioritize immigration policy as a key issue do not correspond with supporting the U.S. taking a major role, as 83% view immigration policy as very important while only 18% support the U.S. taking a major role in diplomatically resolving the Israel-Hamas war.","[""chart_00253_04"", ""chart_00247_02""]",Protestant
"Among U.S. adults with different religious affiliations, is there a consistent relationship between the level of concern about societal changes such as the decline of marriage and the likelihood of considering climate change as a very important issue when deciding who to vote for in the presidential election?","No, there is an inverse relationship between concern about the decline of marriage and prioritizing climate change as a voting issue across religious groups. Evangelical Protestants express the highest concern about marriage decline but are less likely to prioritize climate change for voting, while Black Protestants express lower concern about marriage decline but higher prioritization of climate change.","[""chart_00042_01"", ""chart_00253_04""]",Protestant
"In societies where religion is reported to be highly important in daily life and social media usage is relatively low, how does the level of connection people feel to their local communities compare with the global median, and what might this suggest about social cohesion in these societies?","In Nigeria, where 99% of adults report religion as important in daily life and only 55% use social media, 91% feel close to people in their local community, which is 13 percentage points higher than the 78% global median, suggesting that in societies with strong religious values and lower digital connectivity, community cohesion may be particularly strong.","[""paragraph_00094_05"", ""chart_00228_01"", ""chart_00187_01""]",Nigeria
"Among U.S. adults, does the pattern of political differences in community preferences resemble the pattern of political differences in perceptions of scientists' understanding of climate change, particularly regarding how education level relates to these views?","No, the patterns differ: while political affiliation shows a clear partisan divide in community preferences with minimal variation by education level, perceptions of scientists' understanding of climate change show both a partisan divide and a significant education gradient among Democrats that is absent among Republicans.","[""chart_00002_06"", ""chart_00077_03""]",Survey Data from Pew Research Center's Center Phone Surveys
"Among the South and Southeast Asian countries included in both religious composition and social attitude studies, does the nation with the highest religious diversity also demonstrate the strongest general population support for same-sex marriage?","No, Singapore has the highest religious diversity but Thailand has the highest general population support for same-sex marriage.","[""chart_00013_02"", ""chart_00095_02""]",Buddhism
"Between 2022 and 2024, in countries where at least half the population does not express an opinion on Taiwan, did favorable views toward the European Union decline?","Yes, in Hungary, where roughly half the population has no opinion on Taiwan, favorable views toward the European Union declined by 7 percentage points between 2022 and 2024.","[""paragraph_00006_01"", ""chart_00112_02""]",2023 Global Attitudes Survey
"In the spring 2024 survey of six countries in the Americas, does Peru demonstrate a disconnect between the public's favorable view of Brazil as a country and their confidence in Brazil's president?","Yes, as 58% of Peruvians hold a favorable view of Brazil while only 30% express confidence in the president, indicating a significant disconnect.","[""chart_00260_04"", ""chart_00260_02""]",Peru
"In countries with moderate social media adoption levels, does Nigeria's perspective on social media's impact on democracy suggest a relationship between usage rates and democratic perceptions that differs from what might be expected in nations with similar adoption patterns?","Yes, Nigeria demonstrates a strong positive evaluation of social media's impact on democracy (77% viewing it positively) despite having only moderate social media usage rates (55%), indicating that high adoption rates are not necessary for citizens to perceive social media as beneficial for democratic processes.","[""chart_00187_01"", ""paragraph_00178_01""]",Nigeria
"In Indonesia, does the high level of support among Christians for the idea that religious diversity improves the country indicate that the general adult population also has a majority supporting this view?","No, because while 67% of Christians in Indonesia believe religious diversity improves the country, only 50% of the general adult population hold this view, which does not constitute a majority.","[""chart_00204_04"", ""chart_00091_02""]",Christians
"Between 2022 and 2023, did the growth in concern about artificial intelligence among U.S. adults who are familiar with AI outpace the growth observed in the general population?","Yes, the increase in concern among AI-familiar adults (16 percentage points for 'a lot' and 19 for 'a little' more concerned) exceeded the 14 percentage point increase in the general population between 2022 and 2023.","[""chart_00103_03"", ""chart_00025_02""]",Respondents who did not give an answer
"In the spring 2024 survey of Latin American nations, do countries with a majority favorable view of Brazil also demonstrate high public confidence in Brazil's president?","No, Peru demonstrates a majority favorable view of Brazil (58%) but low confidence in the president (30%), showing no positive correlation between the two metrics.","[""chart_00260_04"", ""chart_00260_02"", ""paragraph_00260_01""]",Peru
"In Peru, does having a generally favorable view of Brazil correspond with confidence in its president?","No, Peru has a generally favorable view of Brazil but lacks confidence in its president.","[""chart_00260_02"", ""chart_00260_04""]",Peru
"In Malaysia, is the threat perception among Muslims regarding the growth of other religious groups higher or lower than the negative perception of religious diversity reported by the entire adult population?","Higher. The threat perception among Muslims is substantial (around half), while the negative perception among the entire adult population is very low (4%).","[""paragraph_00091_05"", ""chart_00091_02""]",Buddhists
"When majority religious groups in South and Southeast Asian countries perceive growing religious diversity as a threat to their religion, does this correspond with a lower belief that religious diversity improves the quality of life in their country?","No, there is not a consistent correspondence. In Sri Lanka and Malaysia, where substantial portions of Buddhists and Muslims respectively perceive growing religious diversity as a threat, both countries still have 62% of adults believing religious diversity improves the quality of life. In Indonesia, where religious groups generally don't see growth of other religions as threats, Muslims and Christians both have positive views about diversity's impact, with 49% and 67% respectively believing it makes the country better.","[""paragraph_00091_05"", ""chart_00091_02"", ""chart_00204_04""]",Buddhists
"Among countries with moderate internet usage levels, does Nigeria's reported perception of social media's impact on democracy align with its social media adoption rate compared to other nations with similar connectivity patterns?","No, Nigeria demonstrates a substantially higher perception of social media's positive impact on democracy compared to what would be expected from its social media adoption rate, with 77% of Nigerians believing social media has benefited democracy despite only a slight majority using social media platforms.","[""chart_00068_02"", ""chart_00187_01"", ""paragraph_00178_01""]",Nigeria
"In Nigeria, does the strong public perception of social media's positive impact on democracy align with the country's recent trajectory in economic sentiment, considering the temporal context of available assessments?","Yes, 77% of Nigerians believe social media positively impacts democracy (2022-2023 data), while the percentage rating the economic situation as good declined from 25% to 11% between 2023 and 2024.","[""paragraph_00178_01"", ""chart_00114_02""]",Nigeria
"In the July 2023 survey of U.S. adults, does the widespread agreement that the cost of political campaigns is a barrier to running for office correspond to support for placing limits on election spending?","Yes, because 85% of U.S. adults agreed that the cost of political campaigns makes it hard for good people to run for office and 72% supported limits on election spending.","[""chart_00073_05"", ""chart_00073_02""]",U.S. Adults (18+)
"Among nations with strong community connections, does greater religious importance tend to correlate with lower acceptance of same-sex marriage?","Yes, countries with stronger community connections and higher religious importance, such as Nigeria where nearly all adults consider religion important and very few support same-sex marriage, demonstrate a negative correlation between religious importance and same-sex marriage acceptance.","[""chart_00228_01"", ""paragraph_00094_05"", ""paragraph_00094_02""]",Nigeria
"Among East Asian nations where data on overall participation in ancestor honoring traditions is available, how does the relationship between participation in burning incense and offering food differ between the nation with the highest overall participation and the nation with the lowest overall participation?","In the nation with the highest overall participation, burning incense is more common than offering food, whereas in the nation with the lowest overall participation, offering food is more common than burning incense.","[""chart_00261_04"", ""chart_00128_02""]",Political View Alignment
"Among Black adults in the United States, does the widespread belief that racial discrimination is overlooked in society imply that they also perceive racial bias as a major problem in employment hiring decisions?","Yes, because 88% of Black adults believe people not recognizing racial discrimination where it exists is the bigger problem and 64% perceive racial bias as a major problem in hiring, indicating a strong alignment in their views on racial discrimination across different contexts.","[""paragraph_00021_01"", ""chart_00028_07""]",Year 2023
"Among U.S. adults who have only heard a little about artificial intelligence, is the level of concern about its increased use higher than the overall level of concern among all U.S. adults in 2022?","Yes, 39% of U.S. adults who have only heard a little about artificial intelligence were more concerned than excited about its increased use in 2022, which is higher than the 38% overall level among all U.S. adults.","[""chart_00103_03"", ""chart_00025_02""]",Respondents who did not give an answer
"Among countries surveyed in South and Southeast Asia, which nation with the most diverse religious composition demonstrates the strongest evidence of alignment between religious diversity and inclusive social attitudes toward minority groups?","Singapore demonstrates the strongest evidence of alignment, with the most diverse religious composition across multiple religious groups and relatively high support for inclusive policies, particularly among religiously unaffiliated populations and Muslims.","[""chart_00013_02"", ""chart_00095_02"", ""paragraph_00091_03""]",Buddhism
"Among U.S. teens, do Black teens experience both a higher rate of cyberbullying based on race and lower awareness of artificial intelligence programs compared to White teens?","Yes, Black teens report both a higher rate of cyberbullying due to race and lower awareness of artificial intelligence programs compared to White teens.","[""chart_00088_02"", ""chart_00089_06""]",Political View Alignment
"In 2024, despite Nigeria experiencing a notable decline in its economic outlook, do public perceptions in the United States and Germany generally view the rise of emerging economies as beneficial for their respective countries?","No, only 39% in the United States view the rise of emerging economies as beneficial while 51% in Germany do, indicating a majority in Germany but not in the United States despite Nigeria's economic decline.","[""chart_00114_02"", ""chart_00111_06""]",Nigeria
"Among Black adults in the United States, does the high level of importance placed on journalists covering all sides of issues correspond with their perception that local journalists are in touch with their community?","No, 76% of Black adults consider it extremely or very important for journalists to cover all sides of issues, while 58% believe local journalists are in touch with their community, indicating a lack of direct correspondence between these perceptions.","[""chart_00081_03"", ""chart_00173_05""]",Perception in 2022
"In 2022, was the proportion of the foreign-born population eligible to vote greater than the proportion of U.S. eligible voters who were foreign-born?","Yes, the proportion of the foreign-born population eligible to vote (49%) was greater than the proportion of U.S. eligible voters who were foreign-born (9.9%).","[""chart_00267_06"", ""chart_00258_02""]",Montana
"Across countries where ideological differences in political views were measured, does the pattern of left-leaning individuals expressing more positive views of international political institutions also hold for their views of specific international political figures?","No, the pattern does not consistently hold. While left-leaning individuals express more positive views of international institutions like the European Union in multiple countries, Israeli left-leaning adults express less confidence in U.S. President Biden compared to center or right-leaning Israeli adults.","[""chart_00235_04"", ""chart_00076_03""]",Vermont
"Based on social media usage patterns in France and age-related attitudes toward social media platforms in other Western countries, does the data indicate a consistent generational divide in social media engagement across these nations?","Yes, the data indicates a consistent generational divide, with French adults under 40 showing a 23 percentage point higher social media usage rate compared to the national average, and younger Americans being significantly less likely to support banning social media platforms than their older counterparts.","[""chart_00187_01"", ""paragraph_00187_02"", ""paragraph_00210_04""]",France
"In Indonesia, is the perception of religious diversity as having a positive or neutral impact on the country consistent with the regional pattern regarding religious demographic anxieties?",Yes,"[""chart_00091_02"", ""paragraph_00091_05""]",Buddhists
"Among U.S. Protestant subgroups, does a higher level of concern about environmental issues correspond with a lower level of concern about changes in family formation patterns?","Yes, there is an inverse relationship where Protestant subgroups with higher concern about environmental issues tend to show lower concern about declining marriage rates.","[""chart_00042_01"", ""chart_00048_01""]",Protestant
"Among Asian adults in the United States, does the perception of racial bias in hiring and performance evaluations as a major problem correlate with a belief that the American dream is unattainable, particularly among those living near or below the poverty line?","Yes, there is a positive correlation. Among Asian adults, 49% view racial bias in hiring as a major problem, and 47% of those living near or below the poverty line believe the American dream is out of reach, compared to 26% of those above the poverty line.","chart_00028_07,chart_00203_09",Asian Respondent Definition
"Among adult populations in Japan and South Korea surveyed in 2023, does a higher level of agreement that men and women are equally good political leaders correlate with a smaller gender gap in attitudes toward men being primarily responsible for family earnings?","Yes, there is a negative correlation: Japan has a higher level of agreement on leadership equality (86% vs 80%) and a smaller gender gap in financial responsibility views (7 vs 21) compared to South Korea.","chart_00194_02,chart_00177_02",France
"In Sri Lanka, does the concern among Buddhists regarding demographic changes from other religious groups suggest a negative view of how religious diversity affects the nation's quality of life?","No, because 68% of Buddhists in Sri Lanka perceive growth of other religious groups as a threat, but only 6% of adults in Sri Lanka believe religious diversity makes the country a worse place to live.","paragraph_00091_05,chart_00091_02",Buddhists
"Among the populations of Poland and Hungary, does the level of confidence in U.S. President Biden correlate with their respective countries' support for accepting refugees from countries experiencing violence and war?","Yes, there is a positive correlation: Poland has 83% confidence in Biden compared to 19% in Hungary, and 52% support for refugees compared to 49% in Hungary.","chart_00017_07,chart_00017_03",Oregon
"Among U.S. states with growth in unauthorized immigrant populations between 2019 and 2022, does the percentage of Black eligible voters show a consistent pattern compared to states without such growth?","No, there is no consistent pattern as states with unauthorized immigrant population growth exhibit a wide range of Black eligible voter percentages from 8% in Massachusetts to 33% in Maryland, while states like California with declining unauthorized immigrant populations have 12% Black eligible voters.","paragraph_00142_01,chart_00053_04",Vermont
"Among countries surveyed for views on Brazil's leadership in spring 2024, does the median confidence level in Brazil's president among Latin American nations exceed the confidence level observed in the United States?","Yes, the five-country Latin American median confidence level is 30%, which exceeds the United States' confidence level of 21%.","paragraph_00260_01,chart_00260_04",Peru
"Among countries where the majority of adults consider religion very important in their daily lives, does social media usage tend to be lower compared to countries where religion is less important?","No, there is no consistent pattern; Malaysia and Indonesia (where religion is very important) have social media usage rates of 83% and 73%, while Singapore (where religion is less important) has 80%, indicating no clear relationship.","paragraph_00035_02,chart_00187_01",Nigeria
"Among U.S. adults, does higher support for government regulation of social media platforms correspond to lower support for increased political party options when comparing different age groups and political party affiliations?","Yes, higher support for banning social media platforms corresponds to lower support for having more political parties; for example, 49% of adults aged 65 and older support banning TikTok while only 21% strongly support having more political parties, and 50% of Republicans support banning TikTok while only 25% strongly support having more political parties.","paragraph_00104_01,chart_00019_01",Support
"In Nigeria, where a large majority of the population believes social media has a positive effect on democracy and the population reports a strong sense of connection to local communities, does the level of social media usage suggest that social media is nearly ubiquitous among internet users?","Yes, because social media usage (55%) is nearly identical to internet usage (57%), meaning that 96% of internet users in Nigeria also use social media.","paragraph_00178_01,chart_00228_01,chart_00187_01",Nigeria
"Among Israeli adults, does a more favorable view of the European Union correlate with lower approval of U.S. President Biden?","Yes, there is a negative correlation: Israeli adults on the ideological left have the highest favorable view of the EU (85%) but the lowest approval of President Biden (48%), while those on the ideological right have the lowest favorable view of the EU (49%) but the highest approval of President Biden (61%).","chart_00076_03,chart_00235_04",France
"Among Nigerian adults, does the strong sense of community cohesion within local neighborhoods correspond with conservative social attitudes on issues like same-sex marriage?","Yes, there is a correspondence: 91% of Nigerian adults report feeling very or somewhat close to people in their local community, while only 2% support same-sex marriage.","chart_00228_01,paragraph_00094_02",Nigeria
"Among African nations with the lowest support for same-sex marriage rights, does the country with less societal acceptance of LGBTQ+ issues also show a negative shift in economic sentiment between 2023 and 2024?","Yes, Nigeria has lower support for same-sex marriage (2% compared to Kenya's 9%) and experienced a decline in economic sentiment from 25% to 11% between 2023 and 2024.","paragraph_00094_02,chart_00114_02",Nigeria
"Among emerging economies, does the perception that social media has advanced democracy align with the view in advanced economies that the rise of emerging economies is beneficial for their countries?","Yes, because in emerging economies such as Nigeria, 77% of people believe social media has had a positive effect on democracy, and in the United States and Germany, 39% and 51% respectively view the rise of emerging economies as a good thing for their countries.","paragraph_00178_01,chart_00111_06",Nigeria
"Among states with early marijuana legalization policies, does California's unauthorized immigration trend from 2019 to 2022 show any distinctive pattern when compared to other U.S. states?","Yes, California, which legalized medical marijuana in 1996 (the first state to do so), was the only state to experience a decrease in unauthorized immigrant population from 2019 to 2022, while six other states (Florida, Maryland, Massachusetts, New Jersey, New York, and Texas) saw growth.","paragraph_00182_01,paragraph_00142_01",Vermont
"Among East Asian populations, is there a negative correlation between gender-based attitudes on financial responsibility and the prevalence of traditional rituals to honor ancestors?","Yes, there is a negative correlation; South Korea shows a 21 percentage point gender difference with 45% ritual participation, while Vietnam has a 2 percentage point difference with 96% participation in burning incense for ancestors.","chart_00177_02,chart_00128_02",Survey of Asian American adults
"Among European Union member countries that experienced a decline in favorable views of the EU between 2022 and 2023, does the trend in citizens' assessment of their national economic situation in 2024 indicate a general pattern of improvement?","Yes, there is a positive correlation where countries with declining EU favorability between 2022 and 2023 generally saw improved economic situation ratings in 2024, with Germany being the notable exception where both EU favorability and economic ratings declined.","paragraph_00076_02,chart_00114_02",2023 Global Attitudes Survey
"Among U.S. adults who responded to surveys about artificial intelligence's impact on daily life, does the increase in those reporting high levels of concern ('a lot') from 2022 to 2023 correspond with the overall trend where concern outweighs excitement by a greater margin in 2023 compared to the previous year?","Yes, the percentage of respondents feeling 'a lot' more concerned than excited increased by 16 percentage points from 2022 to 2023, while the overall proportion of adults who are more concerned than excited rose by 14 percentage points during the same period, indicating a strong correspondence between the specific subgroup trend and the broader pattern.","chart_00025_02,chart_00103_03",Respondents who did not give an answer
"Among Latin American countries surveyed in Spring 2024, does a higher percentage of the population having no confidence in Brazil's president correspond to a higher percentage holding an unfavorable view of Brazil as a country?","Yes, there is a positive correlation between the two metrics.","chart_00260_04,chart_00260_02",Peru
"In Cambodia, a Buddhist-majority country, does the high level of religious exclusivity toward minority religions correspond to a low perception that religious diversity benefits the nation?","Yes, because 43% of Cambodians do not consider any minority religion compatible with their national culture, and only 31% believe religious diversity makes their country a better place.","paragraph_00091_03,chart_00091_02",Buddhism
"Among U.S. registered voters, does the significant decline in perceived common ground between political parties on key policy issues from early 2023 to mid-2024 align with the high priority that White evangelicals place on these issues for the 2024 presidential election?","Yes, White evangelicals rate foreign policy at 70% and immigration at 67% as very important issues, while perceived common ground on foreign policy declined from 54% to 38% and on immigration from 32% to 21% between January 2023 and May 2024.","chart_00253_04,chart_00124_02",White Evangelical
"Among Peruvians, does a high level of no confidence in Brazil's president coexist with a relatively favorable view of Brazil as a country, suggesting a distinction between perceptions of the country and its leadership?","Yes, 55% of Peruvians express no confidence in Brazil's president while only 25% hold an unfavorable opinion of Brazil as a country, indicating a clear distinction between views of the country and its leadership.","chart_00260_04,chart_00260_02",Peru
"Among U.S. adults, does the ideological group exhibiting higher concern about government use of personal data also demonstrate lower favorability toward the European Union?","Yes, conservative respondents show both higher concern about government use of personal data (77% in 2023) and lower favorability toward the European Union (43% favorable opinion) compared to liberal respondents.","chart_00018_02,chart_00112_06",Respondents who did not give an answer
"Among U.S. adults, does the political party with greater support for government restrictions on social media also demonstrate lower confidence in election fairness and less support for having additional political parties?","Yes, Republicans are the political party that demonstrates greater support for government restrictions on social media, lower confidence in election fairness, and less support for having additional political parties.","paragraph_00104_01,chart_00019_01,chart_00146_02",Support
"Among White Evangelical Protestants, does their strong concern about the decline of marriage correlate with their perception of the migrant influx at the U.S.-Mexico border as a critical problem?","Yes. White Evangelical Protestants show the highest negative sentiment (55%) regarding the decline of marriage and the highest percentage (70%) viewing the migrant influx as a crisis among religious groups, indicating a strong correlation between these concerns.","chart_00042_01,chart_00184_01",Protestant
"Among countries where the religiously unaffiliated population is too small to yield a representative survey sample, is there a consistent level of social media usage among the general population?","No, the social media usage rates vary significantly, ranging from 47% in India to 86% in Brazil.","chart_00231_04,chart_00187_01",Nigeria
"Among adults in South and Southeast Asia surveyed in 2022, does the Christian community's perception of how religious diversity affects national quality of life reflect a more positive outlook compared to the overall country-level averages across the region?","Yes, 67% of Christians reported that religious diversity makes their country a better place to live, exceeding the highest national average of 62% observed in the surveyed countries.","chart_00204_04,chart_00091_02",Christians
"Among U.S. adults, does Republican party affiliation correlate with both reduced support for voting access without documentation requirements and lower confidence in the development of infrastructure for emerging transportation technologies?","Yes, Republican-leaning individuals show lower support for voting access without documentation requirements (37% vs 82% for Democratic-leaning) and lower confidence in infrastructure development for electric vehicles (24% vs 62%).","chart_00133_04,chart_00125_07",Don't know/refused and other volunteered responses
"Among Israeli adults, does the left ideology group's relatively high favorability toward the European Union correspond with relatively low confidence in U.S. President Biden?","Yes, there is an inverse relationship: the left ideology group has 85% EU favorability (the highest among ideology groups) but only 48% high confidence in Biden (the lowest among ideology groups).","chart_00076_03,chart_00235_04",2023 Global Attitudes Survey
"Considering Nigeria's strong sense of local community connectedness, does this social characteristic align with the country's conservative perspective on social issues such as same-sex marriage?","Yes, Nigeria's high level of community cohesion (91% feel close to local community members) correlates with its highly conservative stance on same-sex marriage (only 2% support).","chart_00228_01,paragraph_00094_02",Nigeria
"Among East Asian societies, does a relatively lower participation rate in traditional practices like burning incense align with a stronger personal connection to the Confucian way of life compared to Buddhism?","Yes. In South Korea, where the rate of burning incense is 45%, the connection to Confucianism is stronger than to Buddhism, while in Hong Kong (57%), Japan (79%), and Taiwan (81%), the connection to Buddhism is stronger than to Confucianism.","paragraph_00261_06,chart_00261_04",Buddhism
"Among U.S. adults with a college degree or higher, does the perception of artificial intelligence helping people find accurate information online align with the overall trend of increasing concern about artificial intelligence in daily life?","No, because 36% of college-educated adults perceive AI as helping in finding accurate information online (a positive view), while 52% of U.S. adults overall report being more concerned than excited about AI in daily life in 2023 (a negative trend), indicating misalignment.","chart_00025_04,chart_00103_03",Respondents who did not give an answer
"Among White Evangelical Protestant voters, does the perception of immigration-related border conditions as a critical issue correlate with considering immigration policy a very important factor in their voting decision?","Yes, 70% of White Evangelical Protestant voters view the border migrant influx as a crisis, and 79% consider immigration policy very important in their voting decision.","chart_00184_01,chart_00253_04",Protestant
"Among U.S. adults, does the increasing trend in concern about artificial intelligence from 2021 to 2023 reflect a broader pattern of growing public concern about technology-related issues, as evidenced by the trend in concern about government use of personal data?","Yes, the percentage of U.S. adults concerned about artificial intelligence increased from 37% in 2021 to 52% in 2023, while concern about government use of personal data increased from 64% in 2019 to 71% in 2023, indicating a consistent upward trend in technology-related concerns.","chart_00018_02,chart_00103_03",Respondents who did not give an answer
"Among Protestant subgroups, does a higher level of concern about the decline of marriage correlate with a lower percentage who identify violence in home countries as a major reason for migrant influx?","Yes. Historically Black Protestant show 34% concern about marriage decline and 72% identifying violence as a major reason, while White Protestant, not Evangelical show 42% concern about marriage decline and 64% identifying violence as a major reason, indicating a negative correlation.","chart_00042_01,chart_00184_02",Protestant
"Among religious groups in the United States, does a greater level of concern about global climate change correlate with a more favorable view of declining birth rates as a societal trend?","Yes, religious groups with higher concern about global climate change, such as Historically Black Protestants (68% concerned) and the Religiously unaffiliated (70% concerned), also exhibit more favorable views of declining birth rates (26% and 35% respectively), indicating a positive correlation.","chart_00048_01,chart_00042_01",Protestant
"Among East Asian countries, is there a correlation between adult social media usage rates and the prevalence of traditional practices to honor ancestors?","No, there is a negative correlation; South Korea has a higher social media usage rate (80%) but a lower prevalence of traditional practices (57%) compared to Japan (75% social media usage and 85% prevalence).","chart_00187_01,chart_00261_04",Nigeria
"Among U.S. adults, is there a consistent pattern where one political party demonstrates both stronger support for expanded voting access policies and greater skepticism about the Supreme Court's ability to maintain political neutrality in decision-making compared to the opposing party?","Yes, Democrats consistently show stronger support for expanded voting access and greater skepticism about the Supreme Court's political neutrality compared to Republicans.","chart_00133_04,chart_00153_08",Don't know/refused and other volunteered responses
"Among Asian countries surveyed between 2022 and 2023, does a higher rate of adult social media usage correlate with greater public support for legalizing same-sex marriage?","No, there is no positive correlation. Indonesia demonstrates high social media usage (73%) but very low support for same-sex marriage (8%), while Japan shows high social media usage (75%) alongside high support (68%).","chart_00187_01,paragraph_00095_01",Nigeria
"Among East Asian publics, does the prevalence of traditional practices to honor ancestors, such as burning incense, correlate with a stronger personal connection to Buddhism compared to Confucianism?","Yes. In Japan, Taiwan, and Hong Kong, where engagement in ancestor-honoring traditions is high (over 60%), the personal connection to Buddhism is stronger than to Confucianism; in South Korea, where engagement is lower (57%), the connection to Confucianism is stronger.","chart_00261_04,paragraph_00261_06",Buddhism
"Among East Asian Christian populations, does the stronger connection to Buddhist traditions observed in their home country compared to abroad align with the pattern in China where non-ruling party members exhibit higher levels of engagement with Buddhist concepts than ruling party members?","Yes. South Korean Christians (34%) report a stronger connection to Buddhism than Korean American Christians (23%), and non-CCP members in China (33%) demonstrate higher belief in bodhisattvas than CCP members (24%).","paragraph_00170_04,paragraph_00029_01",Buddhism
"Among adults in Nigeria, is there a correlation between the change in public assessment of the national economic situation from 2023 to 2024 and the change in favorable views of the United Nations during the same period?","Yes, there is a positive correlation as both metrics declined. The percentage of adults rating the economic situation as good decreased from 25% in 2023 to 11% in 2024, while favorable views of the United Nations decreased from 78% in 2023 to 69% in 2024.","chart_00252_02,chart_00114_02",Nigeria
"Among countries with nearly universal internet access, does the variation in social media adoption rates suggest that widespread internet availability does not consistently translate to proportional engagement with social media platforms?","Yes, there is significant variation; for example, Germany has 93% internet usage but only 51% social media usage, while South Korea shows 99% internet usage and 80% social media usage, indicating that high internet access does not uniformly lead to equivalent social media adoption.","chart_00068_02,chart_00187_01",2023 Global Attitudes Survey
"Among East Asian publics with available comparative data, does a higher level of social media usage correlate with a smaller absolute difference between men and women regarding the belief that women should be primarily responsible for child care?","Yes, South Korea has a higher social media usage rate (80%) and a smaller absolute gender gap (1 percentage point) compared to Japan (75% social media usage and 3 percentage point gender gap).","chart_00177_03,chart_00187_01",Five East Asian publics
"Considering the trend in political consensus on abortion policy between early 2023 and mid-2024, and the concentration of abortion services in specific types of medical facilities in the United States, which type of facility is likely to face greater challenges in maintaining abortion access due to political polarization?","Clinics are likely to face greater challenges in maintaining abortion access due to political polarization, as they provide 96% of abortion services in the United States, with 54% at specialized clinics and 43% at nonspecialized clinics, while hospitals account for only 3% and physicians' offices for 1% of abortions.","[""chart_00124_02"", ""paragraph_00200_06""]",Nonspecialized Clinic
"In countries with very high levels of internet usage, did favorable views of the United Nations increase or decrease between 2023 and 2024?",Favorable views of the United Nations decreased in countries with very high levels of internet usage between 2023 and 2024.,"[""chart_00068_02"", ""chart_00252_02""]",2023 Global Attitudes Survey
"Among Western European countries surveyed between 2022 and 2024, did France experience one of the most substantial decreases in public favorability toward a major political institution, and how does this trend correlate with French citizens' general perspectives on social media's influence on democratic processes?","Yes, France experienced a 15-point decline in favorability toward the European Union between 2022 and 2024, tied with Germany for the largest decline among Western European countries. This declining trust in a major political institution aligns with French citizens' predominantly negative assessment of social media's impact on democracy, as more French citizens say social media has had a negative effect than a positive one.","[""chart_00112_02"", ""paragraph_00178_01""]",France
"Among Asian diaspora groups in the United States, is there a relationship between the prevalence of ancestral tradition practices in their countries of origin and the favorability of views toward those ancestral homelands?","Yes, there is a positive relationship where higher participation in ancestral traditions correlates with more favorable views of ancestral homelands among Asian diaspora groups.","[""chart_00103_07"", ""chart_00261_04""]",Survey of Asian American adults
