query,answer,gt_sources,gt_entities,start_candidates,type
"A series of 2023 surveys by a major research center explored U.S. public opinion on global economic trends and domestic policy issues. One survey revealed that a significant portion of adults believed emerging economies would have a positive global influence. This same survey also found widespread support for limiting election spending. A different survey from the same period assessed views on political party numbers, where a particular percentage of the total adult population thought more parties would make problem-solving easier. The sum of the percentages for positive economic influence and election spending limits exceeds the percentage favoring multiple parties by how many percentage points?",85 percentage points,"[""chart_00111_06"", ""chart_00073_02"", ""chart_00019_02""]","[""Perceived Negative Influence"", ""Not have much impact"", ""Survey sample""]","[""Survey Data from Pew Research Center's Center Phone Surveys""]",long
"For Asian adults, is the percentage who report having taken on leadership roles extremely often or often when growing up higher than the percentage who say racial bias in hiring is not a problem?","Yes, the percentage of Asian adults who took on leadership roles extremely often or often (22%) is higher than the percentage who say racial bias in hiring is not a problem (11%).","[""chart_00071_02"", ""chart_00028_07""]","[""Extremely Often/Often"", ""Not a Problem""]","[""Asian Respondent Definition""]",easy
"Among adults in Taiwan, is the share of those who participate in a tradition of providing for ancestors' needs in the afterlife higher than the share who hold the view that China's power and influence poses a major threat to Taiwan?","Yes, the share of adults participating in the ancestral tradition is higher.","[""chart_00128_02"", ""chart_00056_04""]","[""Offered money or other things they may need in the afterlife"", ""Perception of China as a Major Threat to Taiwan""]","[""Survey of Asian American adults""]",easy
"In Taiwan, what does the relationship between societal openness to traditional changes and perceptions of external threats suggest about the population's strategic outlook regarding internal social evolution versus external relations, particularly when considering traditional Chinese cultural practices that emphasize harmony with the environment?","The 13 percentage-point difference (66% perceiving China as a major threat versus 53% believing societal openness to traditional changes leads to a better future) indicates that while a majority of Taiwanese are open to internal social evolution, an even larger majority perceives external challenges from China, reflecting a strategic outlook where openness to internal change coexists with caution about external relations.","[""chart_00137_03"", ""chart_00056_04"", ""paragraph_00027_03""]","[""Taiwan"", ""China"", ""Fengshui""]","[""Oregon""]",analysis
"Among U.S. adults surveyed in early 2024, is there a relationship between viewing the Russia-Ukraine conflict as significant for U.S. national interests and expressing confidence in the president's handling of international affairs?","Yes, there is a positive relationship. People who view the Russia-Ukraine conflict as significant for U.S. national interests are more likely to express confidence in the president's handling of international affairs.","[""paragraph_00120_06"", ""chart_00175_01""]","[""Russia-Ukraine War (L2)"", ""Confidence in Biden (L2)""]","[""Russia-Ukraine War""]",analysis
Does Nigeria have a higher proportion of people who feel connected to others in their local community compared to those who use the internet?,"Yes, the percentage of Nigerians who feel connected to people in their local community (91%) is higher than the percentage who use the internet (57%).","[""chart_00228_01"", ""chart_00068_02""]","[""Nigeria"", ""People in their local community"", ""Internet Users""]","[""Nigeria""]",easy
"In Nigeria, is the level of support for social media's positive effect on democracy higher than the rate of social media usage among the adult population?","Yes, 77% of adults say social media has had a positive effect on democracy, which is higher than the 55% who use social media sites.","[""chart_00187_01"", ""paragraph_00178_01""]","[""Nigeria"", ""Social media"", ""Social Media Usage""]","[""Nigeria""]",easy
"Among U.S. Hispanic adults in 2023, did the doubling of awareness of the term 'Latinx' since 2019 lead to a higher rate of adoption of the term for self-identification?","No, because the adoption rate remained statistically unchanged at 4% in 2023 compared to 3% in 2019, and three-quarters of those aware of the term say it should not be used.","[""paragraph_00254_07"", ""paragraph_00254_08""]","[""Year 2023"", ""Hispanic respondents"", ""Latine""]","[""Year 2023""]",analysis
What is the combined percentage-point difference between the highest level of expressed support (favored or leaned) and the actual vote share for third-party candidates across the three presidential elections analyzed?,28.5 percentage points,"[""chart_00126_06"", ""chart_00126_02"", ""chart_00126_07""]","[""Support for Ralph Nader in 2000"", ""Cornell University""]","[""Roper Center for Public Opinion Research""]",easy
"Between January 2023 and May 2024, did the change in perceived common ground between political parties on abortion policy represent a larger or smaller shift than the difference in the percentage of abortions administered at clinics compared to hospitals in the United States?",The change in perceived common ground represented a smaller shift than the difference in the percentage of abortions administered at clinics compared to hospitals.,"[""chart_00124_02"", ""paragraph_00200_06""]","[""Abortion"", ""May 2024 Survey Data""]","[""Nonspecialized Clinic""]",easy
"In the May 2024 survey, was the percentage of U.S. adults who were not confident that the U.S. will build the necessary EV charging infrastructure higher than the percentage who believed voters should provide a documented reason for early or absentee voting?","Yes, the percentage of U.S. adults who were not confident about EV charging infrastructure (56%) was higher than those who supported requiring a documented reason for early/absentee voting (39%).","[""chart_00125_07"", ""chart_00133_04""]","[""Survey Conducted May 13-19, 2024"", ""U.S. Adults Voting Access Opinion""]","[""Don't know/refused and other volunteered responses""]",easy
"In 2023, a survey estimated a specific percentage of U.S. adults as religiously unaffiliated. How does this percentage compare to the percentage of religiously unaffiliated individuals among registered voters in the same year?",The percentage of religiously unaffiliated individuals among registered voters (38%) is higher than the percentage in the general U.S. adult population (28%).,"[""paragraph_00060_01"", ""chart_00159_04""]","[""Survey estimate"", ""Religiously affiliated Americans""]","[""American Trends Panel""]",easy
"Among Black adults, is the difference in marriage rates between men and women greater or smaller than the partisan gap in confidence in Israeli Prime Minister Netanyahu between Republicans and Democrats?",The difference in marriage rates between Black men and women is smaller than the partisan gap in confidence in Netanyahu.,"[""chart_00058_08"", ""chart_00247_04""]","[""Black men"", ""Black women"", ""Republicans"", ""Democrats""]","[""Survey Date: Sept. 16-22, 2024""]",easy
"A nation where more than one-fifth of adults identify as non-religious experienced a double-digit percentage-point decline in favorable views of the European Union between 2022 and 2024. This decline aligns with broader patterns in countries with similar religious landscapes. Within this same nation, social attitudes reflect cultural shifts observed in secular societies. The United States, which has a different religious composition, shows a stark contrast in public opinion on a contentious social issue. This contrast is measured by the difference in support between the two major political parties regarding legal abortion. What is the percentage-point difference in abortion support between U.S. Democrats and Republicans?","France has 23% of adults identifying as non-religious and experienced a 15 percentage-point decline in EU favorability from 2022 to 2024, while the percentage-point difference in abortion support between U.S. Democrats and Republicans is 44.","[""chart_00159_09"", ""chart_00112_02"", ""chart_00070_05""]","[""France"", ""U.S. Democrats"", ""U.S. Republicans""]","[""2023 Global Attitudes Survey""]",long
"Considering that the part of France located in Europe (metropolitan France) resides within a single time zone, what is the percentage-point difference between the share of people in France who access the internet and those who engage with social media platforms?",25,"[""paragraph_00078_06"", ""chart_00187_01""]","[""France"", ""metropolitan France""]","[""France""]",easy
"Considering the overall decline in favorable views of the European Union in France from 2022 to 2024 and the typical pattern where younger adults have more favorable views of the EU than older adults, which age group would likely have experienced a larger absolute decline in favorable views: French adults aged 18-39 or those aged 40 and older?","French adults aged 18-39 would likely have experienced a larger absolute decline because they typically have higher baseline favorability for the EU, meaning they had more room for decline from a higher starting point.","[""chart_00112_02"", ""paragraph_00076_03""]","[""France"", ""Age Group 40 and Older""]","[""France""]",easy
"Across South and Southeast Asia, where Muslims and Buddhists are the majority religious groups, a survey found that in Indonesia, the overall percentage of adults who say diversity makes the country better is a certain value. This positive view is held by a slightly lower percentage among Muslims in the same country. What is the percentage-point difference between the overall national percentage and the Muslim percentage for this positive view?",1 percentage point,"[""paragraph_00091_05"", ""chart_00091_02"", ""chart_00204_04""]","[""Buddhists"", ""Muslims""]","[""Buddhists""]",long
"In France, does the social media usage rate among adults under 40 exceed the national average by more than 20 percentage points?","Yes, the social media usage rate among French adults under 40 (90%) exceeds the national average (67%) by 23 percentage points.","[""paragraph_00187_02"", ""chart_00187_01""]","[""France"", ""Adults under 30""]","[""France""]",analysis
"U.S. adults in a mid-2023 survey expressed strong support for limiting election spending while also voicing concern that campaign costs hinder good candidates from running. This same survey period coincided with the Supreme Court's favorability reaching its lowest point in over three decades. The percentage supporting spending limits exceeds the favorable view of the Supreme Court by a certain margin. This margin is compared to the percentage concerned about campaign costs. What is the percentage-point difference between support for spending limits and Supreme Court favorability, and is this difference greater than the percentage concerned about campaign costs?","The percentage-point difference is 28, which is not greater than 85%.","[""chart_00073_05"", ""chart_00073_02"", ""chart_00103_04""]","[""U.S. Adults (18+)"", ""July 2023 survey"", ""support for election spending limits"", ""Supreme Court favorability"", ""concern about campaign costs""]","[""U.S. Adults (18+)""]",long
Is the percentage-point difference between Asian adults living in poverty and those above the poverty line who believe the American Dream is out of reach larger than the percentage of Asian respondents who sometimes took on leadership roles during their upbringing?,"No, the percentage-point difference (21) is smaller than the percentage (43%) of Asian respondents who sometimes took on leadership roles.","[""chart_00203_09"", ""chart_00071_02""]","[""Asian Adults living in poverty"", ""Sometimes""]","[""Asian Respondent Definition""]",easy
"Hispanic Catholics express a particular percentage when citing economic opportunities as a major reason for migrant influx at the southern border. This percentage is higher than the support for Biden or leaning toward Biden among Hispanic voters by a certain margin. Within the same voter demographics, the percentage of religiously unaffiliated voters is notably lower among Democrats compared to the general voting population by a distinct gap. What is the sum of these two percentage-point differences?","The percentage-point difference between Hispanic Catholic economic opportunities (77%) and Biden/Lean Biden support among Hispanic voters (49%) is 28, and the gap in religiously unaffiliated voters between all voters (38%) and Democrats (26%) is 12, summing to 40 percentage points.","[""chart_00184_02"", ""chart_00224_02"", ""chart_00159_04""]","[""Hispanic Catholic"", ""Biden/Lean Biden"", ""Religiously affiliated Americans""]","[""American Trends Panel""]",long
"In Indonesia, does the Christian minority's significantly higher belief that religious diversity enhances quality of life compared to the general population indicate that religious affiliation shapes societal views on diversity's benefits?","Yes, 67% of Indonesian Christians believe religious diversity makes the country a better place to live compared to 50% of the general population, demonstrating that religious affiliation influences perceptions of diversity's societal impact.","[""chart_00091_02"", ""chart_00204_04"", ""paragraph_00035_02""]","[""['Christians', \\\""Perception of Diversity's Impact\\\""]""]","[""Buddhism""]",analysis
"Between 2019 and 2022, did the growth in the total number of unauthorized immigrants in the U.S. workforce coincide with a period where those born in Mexico no longer represented a majority of this population?","Yes, the number of unauthorized immigrants in the workforce increased from 7.8 million in 2019 to 8.3 million in 2022, while Mexicans constituted less than half of the unauthorized immigrant population during this period despite remaining the largest single origin group.","[""chart_00142_06"", ""chart_00142_04""]","[""Unauthorized immigrants"", ""Country of Birth""]","[""Asian voters""]",analysis
"During the pandemic period, does the disparity in perception of the American dream's attainability between Asian adults living in poverty and those above the poverty line suggest that economic hardship influences this perception?","Yes, 47% of Asian adults living in poverty believe the American dream is out of reach compared to 26% of those above the poverty line, indicating that economic hardship is linked to reduced belief in the dream's attainability.","[""chart_00203_09"", ""paragraph_00110_03""]","[""Survey of Asian American adults (L2)"", ""COVID-19 pandemic (L0)""]","[""Survey of Asian American adults""]",analysis
"The country with the lowest internet usage among those surveyed in a global technology study is also classified as an emerging economy. This country has a significant educational gap in internet access, with more educated individuals being substantially more likely to be online. Within this context, the population of this nation holds a notably positive view about the impact of social media on their democratic processes. Meanwhile, citizens in major developed nations have mixed perspectives on whether emerging economies will have a positive impact on their own countries. What is the percentage of people in this country who believe social media has benefited democracy?",77% of people in Nigeria believe social media has benefited democracy.,"[""chart_00068_02"", ""chart_00111_06"", ""paragraph_00068_04"", ""paragraph_00178_01""]","[""Nigeria"", ""emerging economy"", ""educational gap"", ""social media"", ""democracy""]","[""Nigeria""]",long
"Among White Catholic voters, does the predominant view that the migrant influx at the U.S.-Mexico border constitutes a crisis correspond with their lower representation in the Democratic-leaning voter base compared to all registered voters?","Yes, 64% of White Catholic voters view the migrant influx as a crisis, and they constitute 11% of Democratic-leaning voters compared to 14% of all registered voters.","[""chart_00184_01"", ""chart_00159_04""]","[""White Catholic (L2)"", ""Crisis (L2)""]","[""White Catholic""]",analysis
"In Nigeria, is the proportion of adults who believe social media has a positive impact on democracy higher or lower than the proportion of adults who use social media?",The proportion of adults who believe social media has a positive impact on democracy is higher than the proportion of adults who use social media.,"[""chart_00187_01"", ""paragraph_00178_01""]","[""Nigeria"", ""Social media"", ""Social Media Usage""]","[""Nigeria""]",easy
"White Catholic voters represent a segment of the White voter population that is more prevalent among all voters than among Democratic or leaning Democratic voters. Within the broader White voter group, a specific percentage believe undocumented immigrants mostly fill jobs Americans would like to have. Among White Catholic voters specifically, a significantly higher percentage views the influx of migrants at the U.S.-Mexico border as a crisis. What is the percentage-point difference between the proportion of White Catholic voters perceiving the migrant situation as a crisis and the proportion of White voters wanting immigrants to fill jobs?",42 percentage points (64% vs 22%),"[""chart_00159_04"", ""chart_00237_02"", ""chart_00184_01""]","[""Crisis"", ""Would Like to Have"", ""White Catholic"", ""White Voters""]","[""White Catholic""]",long
"Among U.S. adults who identify as Catholic, is the level of concern about the impact of large migrant numbers at the southern border on the United States higher or lower than the level of concern about the decline of marriage having a negative effect on the country's future?","The level of concern about the impact of large migrant numbers at the southern border is higher, with 53% of Catholic U.S. adults viewing the migrant influx as a crisis compared to 37% who believe the decline of marriage will have a negative impact.","[""chart_00184_01"", ""chart_00042_01""]","[""Catholic U.S. adults"", ""migrant influx"", ""marriage decline""]","[""Survey Data from Pew Research Center's Center Phone Surveys""]",easy
"A survey of U.S. adults who provided valid TikTok handles, conducted using automated web scraping methods, has tracked opinions on a potential ban over time. This survey found that support for a ban decreased significantly between March 2023 and the latest survey period. Within this same timeframe, the group of non-users saw a sharper decline in support compared to users. Additionally, current survey results indicate differing levels of uncertainty between these two groups. What is the difference in the percentage-point decrease in support for a ban between non-users and users from March 2023 to the latest survey?",The difference in the percentage-point decrease in support for a ban between non-users and users is 9 percentage points.,"[""chart_00210_05"", ""chart_00251_04"", ""paragraph_00251_03""]","[""Valid TikTok Handle"", ""Survey of U.S. adult TikTok users"", ""Support for ban"", ""Non-users"", ""Users""]","[""Valid TikTok Handle""]",long
"In July 2023, which policy had greater public support among U.S. adults: implementing age limits for federal elected officials or setting limits on election spending?",Implementing age limits for federal elected officials had greater public support.,"[""chart_00073_02"", ""chart_00012_01""]","[""Total U.S. adults"", ""Election spending limits"", ""Age limits for federal officials""]","[""Survey Data from Pew Research Center's Center Phone Surveys""]",easy
The ratio of Nigerian adults who use social media sites to those who support same-sex marriage is approximately what value?,27.5,"[""chart_00187_01"", ""paragraph_00094_02""]","[""Nigeria"", ""Social Media Usage"", ""Same-sex marriage""]","[""Nigeria""]",easy
"Among U.S. adults who use TikTok and those who do not, does the group with higher support for a ban in the 2024 survey also show a higher perception that a ban is likely to occur?","Yes, non-users had higher support for a ban (42% vs 10%) and a higher perceived likelihood of a ban (32% vs 29%) compared to users.","[""paragraph_00251_03"", ""chart_00251_04""]","[""Support for ban"", ""Likely""]","[""Valid TikTok Handle""]",analysis
"White non-evangelical Protestant registered voters represent a specific percentage of all voters in a 2023 survey. This demographic expressed a certain level of support for U.S. diplomatic intervention in the Israel-Hamas conflict during February 2024, while a different percentage within this group viewed the influx of migrants at the U.S.-Mexico border as only a minor problem. What is the percentage-point difference between their support for diplomatic involvement and their perception of the migrant situation as a minor issue?","The percentage-point difference is 3, with White non-evangelical Protestants comprising 13% of all voters, 18% supporting diplomatic involvement, and 15% viewing the migrant influx as a minor problem.","[""chart_00159_04"", ""chart_00247_02"", ""chart_00184_01""]","[""White Non-Evangelical"", ""February 2024"", ""Minor problem""]","[""Protestant""]",long
"Among Western European countries surveyed between 2022 and 2024, did France experience one of the most substantial decreases in public favorability toward a major political institution, and how does this trend correlate with French citizens' general perspectives on social media's influence on democratic processes?","Yes, France experienced a 15-point decline in favorability toward the European Union between 2022 and 2024, tied with Germany for the largest decline among Western European countries. This declining trust in a major political institution aligns with French citizens' predominantly negative assessment of social media's impact on democracy, as more French citizens say social media has had a negative effect than a positive one.","[""chart_00112_02"", ""paragraph_00178_01""]","[""France"", ""European Union"", ""Social media""]","[""France""]",easy
"Among younger adults in Taiwan, does the predominant identification with a distinct Taiwanese identity correlate with stronger support for democratic governance and reduced engagement with traditional Chinese cultural practices compared to those with Chinese-oriented identities?","Yes. Among younger adults in Taiwan, 83% identify with a distinct Taiwanese identity, which correlates with the 84% support for democratic governance among adults in Taiwan. The 26% engagement rate with Confucian practices suggests reduced alignment with traditional Chinese cultural practices among those with strong Taiwanese identity, consistent with their political alignment with parties less closely connected to China.","[""chart_00056_02"", ""chart_00261_05"", ""paragraph_00056_02"", ""paragraph_00195_01""]","[""Ages 18-34"", ""Taiwanese identity"", ""Democracy"", ""Confucius""]","[""Ages 18-34""]",analysis
"White voters hold a view on whether undocumented immigrants fill jobs that citizens don't want, with a specific percentage of them agreeing. This view is part of a broader pattern of racial differences in immigrant job perceptions. In the same year, the U.S. had a certain number of unauthorized immigrants living in households, and a specific number of these immigrants were in the workforce. This workforce participation rate can be calculated from the total number of unauthorized immigrants and those employed. What is the percentage-point difference between the proportion of White voters who believe undocumented immigrants fill jobs citizens don't want and the percentage of unauthorized immigrants who were in the workforce in 2022?",The percentage-point difference is 0.45.,"[""paragraph_00237_02"", ""paragraph_00142_03"", ""chart_00142_06""]","[""White voters"", ""undocumented immigrants""]","[""White voters""]",long
"Among adults in Indonesia, how does the Christian population's perspective on religious diversity's effect on national quality of life compare to the general Indonesian adult population's view?",Christians in Indonesia show a higher percentage believing religious diversity makes their country a better place to live compared to the general Indonesian adult population.,"[""chart_00091_02"", ""chart_00204_04""]","[""Christians"", ""Indonesian adults""]","[""Christians""]",easy
"In Spring 2024, among Peruvians, does a majority expressing a favorable view of Brazil as a nation coexist with a majority expressing skepticism toward its leadership, indicating a distinction between perceptions of the country and its governance?","Yes, 58% of Peruvians held a favorable view of Brazil while 55% expressed no confidence in Brazil's president, demonstrating this coexistence.","[""chart_00260_02"", ""chart_00260_04""]","[""Peru"", ""Brazil""]","[""Peru""]",analysis
"Among public K-12 teachers, do high school educators who report the highest prevalence of student cellphone distractions also experience lower levels of job overwhelming compared to their elementary and middle school counterparts?","Yes, high school teachers report the lowest job overwhelming (58%) compared to elementary (75%) and middle school teachers (69%), despite 72% citing cellphone distractions as a major problem.","[""chart_00262_10"", ""chart_00262_06""]","[""Being Distracted by Cellphones"", ""Overwhelming""]","[""Rounding adjustment""]",analysis
"Among East Asian countries where data on cultural traditions and same-sex marriage legality is available, does the country that has legalized same-sex marriage show higher engagement in traditions involving offerings to ancestors compared to other surveyed countries?","Yes, Taiwan shows higher engagement in offering money or other things to honor ancestors compared to the other East Asian countries surveyed.","[""paragraph_00094_02"", ""chart_00261_04""]","[""same-sex marriage"", ""Offering Money or Other Things""]","[""Nigeria""]",easy
"In regions where religious groups generally do not perceive demographic changes in religious populations as threats, does exposure to news about conflicts involving extremist groups correlate with higher levels of fear among members of the majority religious group?","Yes, 53% of U.S. Muslims reported feeling afraid due to news about the Israel-Hamas conflict, aligning with the broader trend where Muslim populations perceive extremists within their faith as a greater threat than demographic changes in religious populations.","[""paragraph_00091_05"", ""chart_00207_05""]","[""Muslims"", ""extremists""]","[""Buddhists""]",analysis
"In France, did the decline in favorable views toward the European Union between 2019 and 2024 coincide with a similar decline in attitudes toward the United Nations, suggesting a broader pattern of decreasing support for international institutions?","Yes, favorable views of the European Union in France declined by 15 percentage points (from 67% to 52%) between 2022 and 2024, while favorable views of the United Nations declined by 9 percentage points (from 62% to 53%) between 2023 and 2024.","[""chart_00112_02"", ""chart_00252_02""]","[""France""]","[""France""]",analysis
"Among U.S. white voters surveyed between 2023 and 2024, does the high percentage of white Catholic voters who view the situation at the U.S.-Mexico border as a crisis correspond with a higher rate of opposition to immigrants filling jobs that American citizens would prefer to have?","Yes, 64% of white Catholic voters view the border situation as a crisis, and 75% of white voters oppose undocumented immigrants filling jobs, indicating a correlation between these perspectives.","[""chart_00184_01"", ""chart_00237_02"", ""chart_00159_04""]","[""['White Catholic', 'Crisis', \\\""Don't Want\\\""]""]","[""White Catholic""]",analysis
"Start with countries where a very high percentage of adults report that social media has positively affected democracy. These countries include two nations in emerging economies. Within this set, one country has the lowest social media usage rate. This country also has a particular non-internet user rate. What is the difference between the social media usage rate and the non-internet user rate in this country?",The difference is 13 percentage points.,"[""paragraph_00178_01"", ""chart_00187_01"", ""chart_00068_02""]","[""Social media"", ""Internet Usage"", ""Non-Internet Users""]","[""Nigeria""]",long
"Among Asian adults, a certain percentage sometimes took on leadership roles during their youth. This percentage, when added to the percentage of those living below the poverty line who believe the American Dream is out of reach, results in a total. This total exceeds the percentage viewing racial bias in hiring as a major problem. The difference between this total and the racial bias perception is how many percentage points?",41 percentage points,"[""chart_00028_07"", ""chart_00071_02"", ""chart_00203_09""]","[""sometimes took leadership roles"", ""living below poverty line"", ""viewing racial bias in hiring as major problem""]","[""Asian Respondent Definition""]",long
"Among the two countries where the highest percentage of adults state that social media has had a positive effect on democracy, which country has a higher rate of social media usage?",Mexico has a higher rate of social media usage.,"[""paragraph_00178_01"", ""chart_00187_01""]","[""Social Media Usage"", ""Social media""]","[""Nigeria""]",easy
"A country where nearly eight-in-ten citizens believe social media has positively impacted democracy also exhibits specific patterns in digital connectivity. This country's social media adoption rate is at a certain level, while the portion of its population not using the internet is at a particular rate. This digital landscape exists alongside the widespread belief in social media's democratic benefits. Within this context, what is the percentage-point difference between the social media usage rate and the non-internet user rate?",13 percentage points,"[""paragraph_00178_01"", ""chart_00187_01"", ""chart_00068_02""]","[""Nigeria"", ""social media adoption rate"", ""non-internet user rate""]","[""Nigeria""]",long
"Among nations surveyed, does the country with the least favorable view toward legal recognition of same-sex relationships also demonstrate the strongest connection to people in their local community?","Yes, Nigeria demonstrates the least favorable view toward legal recognition of same-sex relationships and also shows the strongest connection to people in their local community.","[""paragraph_00094_02"", ""chart_00228_01""]","[""Nigeria"", ""Same-sex marriage"", ""People in their local community""]","[""Nigeria""]",easy
"A religious subgroup that is more prevalent among a major political party's voters than the general electorate identifies a specific factor as a major reason for migrant influx and views the border situation as a crisis. This subgroup, which constitutes a higher proportion of Republican-leaning voters compared to all voters, holds these two perspectives. What is the percentage-point difference between their perception of the border situation as a crisis and their view that this factor is a major reason for migration?",The percentage-point difference is 20.,"[""chart_00184_02"", ""chart_00184_01"", ""chart_00136_04""]","[""White Evangelical Protestant"", ""Republicans"", ""violence in home countries"", ""border crisis""]","[""Protestant""]",long
"Among U.S. adults, does the high level of agreement among Asian adults that undocumented immigrants fill jobs American citizens don't want correlate with their relatively high level of pessimism about the country's ability to ensure racial equality compared to White and Hispanic adults?","No, there is no direct correlation. Asian adults show the highest agreement (90%) that undocumented immigrants fill jobs American citizens don't want, yet they also show higher pessimism (49%) about racial equality compared to White (43%) and Hispanic (44%) adults. However, Black adults show lower agreement (71%) on the immigration issue but similar pessimism (51%) about racial equality, suggesting these views may not be directly connected.","[""paragraph_00237_02"", ""paragraph_00040_01""]","[""Asian voters"", ""Racial equality""]","[""Asian voters""]",analysis
"What is the combined percentage of Asian adults who view racial bias in hiring as a major problem and those who prefer walkable communities, minus the percentage of Asian adults living above the poverty line who believe the American Dream is out of reach?",85%,"[""chart_00028_07"", ""chart_00002_06"", ""chart_00203_09""]","[""Major Problem"", ""Preference for Walkable Communities"", ""Asian Adults living above the poverty line""]","[""Asian Respondent Definition""]",long
"Among U.S. adults, evangelical Protestants are less likely than the general population to view climate change as a serious problem and more likely to believe the decline of marriage has a negative impact. This subgroup also places higher importance on immigration as a presidential election issue. What is the percentage-point difference in negative impact perception between evangelical Protestants and the general population regarding the decline of marriage?",19 percentage points,"[""chart_00048_01"", ""chart_00042_01"", ""chart_00253_04""]","[""evangelical Protestants"", ""general population""]","[""Protestant""]",long
Is it true that European countries with stronger domestic support for social equality measures also tend to have more favorable international views of global governance institutions?,No,"[""paragraph_00094_02"", ""chart_00252_02""]","[""Favorable views of the United Nations"", ""LGBT rights""]","[""France""]",easy
"In countries where pluralities of adults hold favorable views of Taiwan, such as France, does this international perspective align with the predominant self-identification among people in Taiwan as primarily Taiwanese rather than Chinese?","Yes, because pluralities in France hold favorable views of Taiwan while 67% of Taiwanese adults identify primarily as Taiwanese, showing alignment between external perceptions and internal identity.","[""paragraph_00006_02"", ""paragraph_00056_02""]","[""France (L2)"", ""Taiwanese identity (L1)""]","[""France""]",analysis
"Among Asian American adults, is the percentage with a favorable view of their ancestral homeland higher for those of Taiwanese descent than for those of Vietnamese descent, despite ancestor rituals being more commonly practiced in Vietnam compared to Taiwan?","Yes, 95% of Taiwanese American adults have a favorable view of Taiwan compared to 59% of Vietnamese American adults for Vietnam.","[""paragraph_00128_02"", ""chart_00261_04"", ""chart_00103_07""]","[""Survey of Asian American adults"", ""Vietnam"", ""Taiwan"", ""incense""]","[""Survey of Asian American adults""]",analysis
"Start in 2023 with the U.S. veteran population, where a certain proportion were Hispanic respondents. This proportion was added to the percentage of the general Hispanic adult population that preferred the label 'Latine' in the same year. From this sum, the percentage of the general Hispanic adult population that used the term 'Latinx' was subtracted. What is the resulting value in percentage points?",10,"[""chart_00085_02"", ""paragraph_00254_07"", ""paragraph_00254_08""]","[""Hispanic respondents"", ""Latine""]","[""Year 2023""]",long
"Among European countries surveyed in 2023, does France, which administers overseas territories leading to multiple time zones, have a higher percentage of adults identifying as atheist compared to Germany, the United Kingdom, and Sweden?","Yes, France has 23% of adults identifying as atheist, which is higher than Germany (8%), the United Kingdom (12%), and Sweden (18%).","[""paragraph_00078_06"", ""chart_00070_05""]","[""France"", ""overseas territories""]","[""2023 Global Attitudes Survey""]",analysis
"Does France, a country with high internet penetration, demonstrate a correlation between digital connectivity including social media usage and public support for progressive social policies such as same-sex marriage?","Yes, France demonstrates a correlation with 92% internet usage, 67% social media usage, and 82% support for same-sex marriage, indicating alignment between digital connectivity and progressive social attitudes.","[""chart_00187_01"", ""chart_00068_02"", ""paragraph_00094_02""]","[""France"", ""Internet Usage"", ""Same-sex marriage""]","[""France""]",analysis
"Among U.S. registered voters, does the difference in support for Trump/Lean Trump between religiously unaffiliated voters and White evangelical Protestant voters exceed the difference in support for legal same-sex marriage between South Korea and Japan?","Yes, the difference in Trump/Lean Trump support between religiously unaffiliated voters and White evangelical Protestant voters (53 percentage points) exceeds the difference in support for legal same-sex marriage between South Korea and Japan (27 percentage points).","[""chart_00224_02"", ""paragraph_00095_01""]","[""Religiously unaffiliated voters"", ""White evangelical Protestant voters"", ""South Korea"", ""Japan""]","[""American Trends Panel""]",easy
"Public perception of the Russia-Ukraine war as important to U.S. national interests correlates with confidence in U.S. leadership, where approval of the president's handling of such conflicts strongly relates to overall confidence. A European nation directly affected by the conflict demonstrates a high level of confidence in the U.S. president, with residents holding more positive assessments of his international leadership. Within this nation, what percentage of respondents express confidence in Biden, and how does this percentage compare to the share of Americans who consider the Russia-Ukraine war very important to U.S. national interests?","83% of Polish respondents express confidence in Biden, which is 40 percentage points higher than the 43% of Americans who view the Russia-Ukraine war as very important to U.S. national interests.","[""paragraph_00120_06"", ""chart_00017_03"", ""chart_00175_01""]","[""No Confidence"", ""Total percentage""]","[""Russia-Ukraine War""]",long
"In France, is the percentage of adults using social media sites higher or lower than the percentage not using the internet?",The percentage of adults using social media sites in France (67%) is higher than the percentage not using the internet (8%).,"[""chart_00187_01"", ""chart_00068_02""]","[""Social Media Usage"", ""Non-Internet Users""]","[""France""]",easy
"In surveys conducted among Muslim populations in Singapore and the United States, is the level of concern about issues significantly related to religious identity comparable between these two groups?","Yes, the level of concern is comparable (54% in Singapore and 53% in the U.S.).","[""paragraph_00091_05"", ""chart_00207_05""]","[""Muslims"", ""Muslim extremists"", ""Fear""]","[""Buddhists""]",analysis
"For White evangelical Protestants, what is the percentage-point difference between the share who consider immigration policy a key factor in their 2024 presidential election decision and the share who identify violence in home countries as a major driver of migration at the southern border?",29 percentage points,"[""chart_00253_04"", ""chart_00184_02""]","[""White Evangelical""]","[""Protestant""]",easy
"Among countries with extremely low public support for LGBTQ+ rights, does Nigeria also exhibit a notable decline in approval of international organizations between 2023 and 2024?","Yes, Nigeria has both extremely low public support for LGBTQ+ rights (2%) and a 9 percentage-point decline in favorable views of the United Nations from 2023 to 2024.","[""paragraph_00094_02"", ""chart_00252_02""]","[""LGBT rights"", ""Favorable views of the United Nations""]","[""Nigeria""]",analysis
